name,address_line1,address_line2,address_city,address_state,address_zip,business_name,deserves_line,headline_font,qr_image_url,old_shot_url,new_shot_url,metadata_slug,metadata_qr_code,metadata_trade,metadata_mailable
NexGen Landscaping,4004 S 30th St,,Phoenix,AZ,85040,NexGen Landscaping,deserves a better,78,https://demo.buildlocal.agency/m/qr/az0035.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/nexgen-landscaping-new.jpg,nexgen-landscaping,az0035,landscaping,yes
"Desert Crest, LLC",704 W Happy Valley Rd,,Phoenix,AZ,85085,Desert Crest,deserves a better,78,https://demo.buildlocal.agency/m/qr/az0038.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/desert-crest-llc-new.jpg,desert-crest-llc,az0038,landscaping,yes
"Triple ""J"" Service, LLC.",2145 E Monroe St,,Phoenix,AZ,85034,"Triple ""J"" Service",deserves a better,78,https://demo.buildlocal.agency/m/qr/az0040.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/triple-j-service-llc-new.jpg,triple-j-service-llc,az0040,landscaping,yes
Phoenix Roofing & Repair,301 E Bethany Home Rd A-121,,Phoenix,AZ,85012,Phoenix Roofing & Repair,deserves a better,64,https://demo.buildlocal.agency/m/qr/ro0001.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/phoenix-roofing-and-repair-new.jpg,phoenix-roofing-and-repair,ro0001,roofing,yes
Lyons Roofing,878 W Illini St,,Phoenix,AZ,85041,Lyons Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0002.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/lyons-roofing-new.jpg,lyons-roofing,ro0002,roofing,yes
Stonecreek Roofing,10221 N 32nd St ste a,,Phoenix,AZ,85028,Stonecreek Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0003.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/stonecreek-roofing-new.jpg,stonecreek-roofing,ro0003,roofing,yes
Arizona Roofing and Restoration,6531 N 10th Pl,,Phoenix,AZ,85014,Arizona Roofing and Restoration,deserves a better,50,https://demo.buildlocal.agency/m/qr/ro0004.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/arizona-roofing-and-restoration-new.jpg,arizona-roofing-and-restoration,ro0004,roofing,yes
Arizona Roofers,4836 E McDowell Rd C100,,Phoenix,AZ,85008,Arizona Roofers,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0005.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/arizona-roofers-new.jpg,arizona-roofers,ro0005,roofing,yes
Phoenix Roofers by Allstate Roofing Cont,2955 W Clarendon Ave,,Phoenix,AZ,85017,Phoenix Roofers by Allstate Roofing Contractors,deserves a better,34,https://demo.buildlocal.agency/m/qr/ro0006.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/phoenix-roofers-by-allstate-roofing-contractors-new.jpg,phoenix-roofers-by-allstate-roofing-contractors,ro0006,roofing,yes
RENCO Roofing,2210 W Shangri La Rd a1,,Phoenix,AZ,85029,RENCO Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0007.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/renco-roofing-new.jpg,renco-roofing,ro0007,roofing,yes
Brown Roofing LLC,11627 N 17th Pl,,Phoenix,AZ,85020,Brown Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0008.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/brown-roofing-llc-new.jpg,brown-roofing-llc,ro0008,roofing,yes
