to.name,to.address_line1,to.address_line2,to.address_city,to.address_state,to.address_zip,front_image,back_image,qr_target,metadata_slug,metadata_qr_code,metadata_trade,metadata_mailable
A1 Roofing Solutions,2450 W Broadway Rd UNIT 108,,Mesa,AZ,85202,https://demo.buildlocal.agency/m/flyers/a1-roofing-solutions-front.png,https://demo.buildlocal.agency/m/flyers/a1-roofing-solutions-back.png,https://demo.buildlocal.agency/q/ro0014,a1-roofing-solutions,ro0014,roofing,yes
Johnson Roofing Llc,1121 S Horne,,Mesa,AZ,85204,https://demo.buildlocal.agency/m/flyers/johnson-roofing-llc-front.png,https://demo.buildlocal.agency/m/flyers/johnson-roofing-llc-back.png,https://demo.buildlocal.agency/q/ro0015,johnson-roofing-llc,ro0015,roofing,yes
"Right Way Roofing, Inc.",8255 E Willetta St,,Mesa,AZ,85207,https://demo.buildlocal.agency/m/flyers/right-way-roofing-inc-front.png,https://demo.buildlocal.agency/m/flyers/right-way-roofing-inc-back.png,https://demo.buildlocal.agency/q/ro0017,right-way-roofing-inc,ro0017,roofing,yes
The Roofing Company,935 E Sorenson Cir,,Mesa,AZ,85203,https://demo.buildlocal.agency/m/flyers/the-roofing-company-front.png,https://demo.buildlocal.agency/m/flyers/the-roofing-company-back.png,https://demo.buildlocal.agency/q/ro0018,the-roofing-company,ro0018,roofing,yes
Overson Roofing,842 E Isabella Ave Ste. 101,,Mesa,AZ,85204,https://demo.buildlocal.agency/m/flyers/overson-roofing-front.png,https://demo.buildlocal.agency/m/flyers/overson-roofing-back.png,https://demo.buildlocal.agency/q/ro0019,overson-roofing,ro0019,roofing,yes
Mesa Roofing - Roof Repair & Replacement,2353 W Jacinto Ave,,Mesa,AZ,85202,https://demo.buildlocal.agency/m/flyers/mesa-roofing-roof-repair-and-replacement-front.png,https://demo.buildlocal.agency/m/flyers/mesa-roofing-roof-repair-and-replacement-back.png,https://demo.buildlocal.agency/q/ro0020,mesa-roofing-roof-repair-and-replacement,ro0020,roofing,yes
"Stout Roofing, Inc. | Mesa",1117 W University Dr,,Mesa,AZ,85201,https://demo.buildlocal.agency/m/flyers/stout-roofing-inc-mesa-front.png,https://demo.buildlocal.agency/m/flyers/stout-roofing-inc-mesa-back.png,https://demo.buildlocal.agency/q/ro0021,stout-roofing-inc-mesa,ro0021,roofing,yes
Icon Roofing,2150 E Brown Rd #4,,Mesa,AZ,85213,https://demo.buildlocal.agency/m/flyers/icon-roofing-front.png,https://demo.buildlocal.agency/m/flyers/icon-roofing-back.png,https://demo.buildlocal.agency/q/ro0022,icon-roofing,ro0022,roofing,yes
Arizona Roofing Systems,935 E Sorenson Cir,,Mesa,AZ,85203,https://demo.buildlocal.agency/m/flyers/arizona-roofing-systems-front.png,https://demo.buildlocal.agency/m/flyers/arizona-roofing-systems-back.png,https://demo.buildlocal.agency/q/ro0023,arizona-roofing-systems,ro0023,roofing,yes
Titan Roofing & Construction,1107 S Gilbert Rd #210,,Mesa,AZ,85204,https://demo.buildlocal.agency/m/flyers/titan-roofing-and-construction-front.png,https://demo.buildlocal.agency/m/flyers/titan-roofing-and-construction-back.png,https://demo.buildlocal.agency/q/ro0024,titan-roofing-and-construction,ro0024,roofing,yes
