to.name,to.address_line1,to.address_line2,to.address_city,to.address_state,to.address_zip,business_name,deserves_line,headline_font,qr_image_url,old_shot_url,new_shot_url,slug,qr_code,qr_target
L Paradise Landscaping Services,,,Goodyear,AZ,,L Paradise Landscaping,deserves a better,70,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0345,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/l-paradise-landscaping-services-new.jpg,l-paradise-landscaping-services,az0345,https://buildlocal.agency/q/az0345
Prickly Thumb Landscaping LLC,,,Goodyear,AZ,,Prickly Thumb Landscaping,deserves a better,62,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0346,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/prickly-thumb-landscaping-llc-new.jpg,prickly-thumb-landscaping-llc,az0346,https://buildlocal.agency/q/az0346
West Valley Desert Landscaping,,,Goodyear,AZ,,West Valley Desert Landscaping,deserves a better,51,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0347,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/west-valley-desert-landscaping-new.jpg,west-valley-desert-landscaping,az0347,https://buildlocal.agency/q/az0347
landscaping roberto ruiz,,,Avondale,AZ,,landscaping roberto ruiz,deserves a,64,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0348,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/landscaping-roberto-ruiz-new.jpg,landscaping-roberto-ruiz,az0348,https://buildlocal.agency/q/az0348
"Pure Landscape, Inc.",,,Goodyear,AZ,,Pure Landscape,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0349,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/pure-landscape-inc-new.jpg,pure-landscape-inc,az0349,https://buildlocal.agency/q/az0349
Copper Ridge Landscaping LLC,,,Avondale,AZ,,Copper Ridge Landscaping,deserves a better,64,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0350,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/copper-ridge-landscaping-llc-new.jpg,copper-ridge-landscaping-llc,az0350,https://buildlocal.agency/q/az0350
Frank and Son Landscaping,,,Buckeye,AZ,,Frank and Son Landscaping,deserves a better,62,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0351,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/frank-and-son-landscaping-new.jpg,frank-and-son-landscaping,az0351,https://buildlocal.agency/q/az0351
Alex Landscaping Services,,,Buckeye,AZ,,Alex Landscaping Services,deserves a,62,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0352,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/alex-landscaping-services-new.jpg,alex-landscaping-services,az0352,https://buildlocal.agency/q/az0352
Design Build AZ Landscape & Hardscape LLC,,,Goodyear,AZ,,Design Build AZ Landscape,deserves a better,62,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0353,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/design-build-az-landscape-and-hardscape-llc-new.jpg,design-build-az-landscape-and-hardscape-llc,az0353,https://buildlocal.agency/q/az0353
Happy Clean Lawnscapes,,,Buckeye,AZ,,Happy Clean Lawnscapes,deserves a better,70,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0354,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/happy-clean-lawnscapes-new.jpg,happy-clean-lawnscapes,az0354,https://buildlocal.agency/q/az0354
Ewing Outdoor Supply,,,Goodyear,AZ,,Ewing Outdoor Supply,deserves a better,77,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0355,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/ewing-outdoor-supply-goodyear-new.jpg,ewing-outdoor-supply-goodyear,az0355,https://buildlocal.agency/q/az0355
Landscape Home Services LLC,,,Goodyear,AZ,,Landscape Home Services,deserves a better,67,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0356,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/landscape-home-services-llc-new.jpg,landscape-home-services-llc,az0356,https://buildlocal.agency/q/az0356
White Tanks Landscaping LLC,,,Buckeye,AZ,,White Tanks Landscaping,deserves a better,67,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0357,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/white-tanks-landscaping-llc-new.jpg,white-tanks-landscaping-llc,az0357,https://buildlocal.agency/q/az0357
Elite Outdoor Designs,,,Goodyear,AZ,,Elite Outdoor Designs,deserves a better,73,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0358,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/elite-outdoor-designs-new.jpg,elite-outdoor-designs,az0358,https://buildlocal.agency/q/az0358
L & R Management Landscaping Company,,,Litchfield Park,AZ,,L & R Management Landscaping,deserves a better,55,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0359,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/l-and-r-management-landscaping-company-new.jpg,l-and-r-management-landscaping-company,az0359,https://buildlocal.agency/q/az0359
Martinez Expert Tree & Landscape Services,,,Goodyear,AZ,,Martinez Expert Tree,deserves a better,77,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0360,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/martinez-expert-tree-and-landscape-services-new.jpg,martinez-expert-tree-and-landscape-services,az0360,https://buildlocal.agency/q/az0360
Yahweh Tree and Landscape llc,,,Buckeye,AZ,,Yahweh Tree and Landscape,deserves a better,62,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0361,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/yahweh-tree-and-landscape-llc-new.jpg,yahweh-tree-and-landscape-llc,az0361,https://buildlocal.agency/q/az0361
Tropical Landscaping Services,,,Goodyear,AZ,,Tropical Landscaping Services,deserves a better,53,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0362,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/tropical-landscaping-services-new.jpg,tropical-landscaping-services,az0362,https://buildlocal.agency/q/az0362
"I.M. Landscaping, LLC",,,Buckeye,AZ,,I.M. Landscaping,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0363,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/i-m-landscaping-llc-new.jpg,i-m-landscaping-llc,az0363,https://buildlocal.agency/q/az0363
Pool & Landscape AZ,,,Goodyear,AZ,,Pool & Landscape,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0364,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/pool-and-landscape-az-goodyear-new.jpg,pool-and-landscape-az-goodyear,az0364,https://buildlocal.agency/q/az0364
TURFIT | LANDSCAPE SUPPLY,,,Goodyear,AZ,,TURFIT,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0365,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/turfit-landscape-supply-new.jpg,turfit-landscape-supply,az0365,https://buildlocal.agency/q/az0365
Martinez Landscaping & More LLC,,,Tonopah,AZ,,Martinez Landscaping & More,deserves a better,57,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0366,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/martinez-landscaping-and-more-llc-new.jpg,martinez-landscaping-and-more-llc,az0366,https://buildlocal.agency/q/az0366
Desert Legion Design & Landscaping,,,Avondale,AZ,,Desert Legion Design,deserves a better,77,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0367,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/desert-legion-design-and-landscaping-new.jpg,desert-legion-design-and-landscaping,az0367,https://buildlocal.agency/q/az0367
